iter,rsq,rank,noise,N,b,items,is_bibd
142,0.9682280651969289,FALSE,1.1728128485847265,649,11,20,FALSE
143,0.9804771211611453,FALSE,0.850981775438413,582,18,12,FALSE
144,0.9637105088961354,FALSE,0.8208298613317311,1135,17,19,FALSE
145,0.9558076366616366,FALSE,1.0784944389015436,601,11,17,FALSE
146,0.8604114864012051,FALSE,0.8284357329830527,1922,10,20,FALSE
147,0.971543293943312,FALSE,1.3544868098106235,1430,9,14,FALSE
148,0.9844678713810805,FALSE,1.117924023186788,1946,11,10,FALSE
149,0.9595689141667024,FALSE,0.5855449202936143,452,14,14,FALSE
150,0.895249531234078,FALSE,1.0332815500441939,324,8,15,FALSE
151,0.9790596334000601,FALSE,1.4652042407542467,1590,11,14,FALSE
152,0.927414949455145,FALSE,0.9456233852542937,1584,8,14,FALSE
153,0.9916393778054958,FALSE,1.1862096355762333,1760,17,15,FALSE
154,0.9123066053166509,FALSE,0.7983465301804245,1353,11,15,FALSE
155,0.9745553917726152,FALSE,0.607193615520373,319,12,15,FALSE
156,0.9923230621987345,TRUE,0.9455300953704864,1828,12,11,FALSE
157,0.9970505789993833,TRUE,1.35742081515491,1825,14,8,TRUE
158,0.9901620312846002,FALSE,1.1084915117826313,907,13,12,FALSE
159,0.9663920737334878,FALSE,0.7591697345487773,1589,10,12,FALSE
160,0.9754029778646084,FALSE,0.7092652111314237,749,10,12,FALSE
161,0.9677225741699086,FALSE,1.3853625459596515,1726,14,17,FALSE
162,0.9605571162267609,FALSE,0.596915619680658,842,17,8,FALSE
163,0.9577908646248703,TRUE,0.5352774569764733,527,9,9,FALSE
164,0.9731570716585455,FALSE,0.7933015001472086,308,8,8,FALSE
165,0.9295763567681348,FALSE,1.0759412941988558,1720,12,19,FALSE
166,0.9856549257323906,FALSE,1.305755031760782,397,19,18,FALSE
167,0.9638437181786701,FALSE,1.199939495883882,432,20,20,FALSE
168,0.9902235940973964,FALSE,0.9455070444382727,825,19,9,FALSE
169,0.8479098392077006,FALSE,0.5446613049134612,1280,9,19,FALSE
170,0.9937018397064479,FALSE,1.0664186438079923,1484,10,9,FALSE
171,0.9914872715791687,FALSE,1.246658498654142,346,9,9,FALSE
172,0.9859399609734438,FALSE,0.7966744943987578,877,10,13,FALSE
173,0.9576563336181128,FALSE,1.1759539088234305,846,11,15,FALSE
174,0.9844016722847578,FALSE,1.144667932530865,1633,16,15,FALSE
175,0.9820541171930475,FALSE,0.8827931731939316,1937,13,8,FALSE
176,0.9838630644621654,FALSE,1.2200611510779709,1481,14,11,FALSE
177,0.9889220213617272,FALSE,1.0219552558846772,1840,19,14,FALSE
178,0.9252667621820474,FALSE,0.5907241289969534,947,12,19,FALSE
179,0.9756563256499707,FALSE,1.3334160507656634,649,10,15,FALSE
180,0.9855406720166294,TRUE,0.7428055519703776,1591,18,10,FALSE
181,0.9712918150254612,FALSE,0.6035871326457709,814,19,17,FALSE
182,0.9791069002854389,FALSE,1.1275030488613993,1131,18,18,FALSE
183,0.9875306160213569,FALSE,1.176643560640514,1537,12,14,FALSE
184,0.9621210009049022,FALSE,1.358267119852826,1754,18,20,FALSE
185,0.9909967539369712,FALSE,0.6622087904252112,728,14,13,FALSE
186,0.9963100285218124,FALSE,1.1589523686561733,496,17,9,FALSE
187,0.9681203386575288,FALSE,1.329424298601225,1056,10,14,FALSE
188,0.8736106058456959,FALSE,0.9318734933622181,986,9,19,FALSE
189,0.992585462022047,TRUE,1.188816154608503,1575,16,11,FALSE
190,0.9972810182433662,FALSE,1.3665164292324334,1186,19,12,FALSE
191,0.985885831731131,FALSE,0.9137493630405515,651,11,11,FALSE
192,0.9950890311110645,FALSE,0.9738580018747598,772,18,10,FALSE
193,0.9611895665375281,FALSE,0.6285363261122257,1281,12,10,FALSE
194,0.9790035673149106,FALSE,0.6206494634971023,1937,17,12,FALSE
195,0.786430872127874,FALSE,1.4005196823272854,716,8,18,FALSE
196,0.9570872748617679,FALSE,0.5160439531318843,1128,20,8,FALSE
197,0.9938919120828338,FALSE,0.7163689690642059,1727,20,9,FALSE
198,0.9757198041399284,FALSE,1.4349436974152923,842,9,11,FALSE
199,0.9658318689099639,FALSE,1.0862779743038118,796,10,13,FALSE
200,0.9986705521992835,TRUE,1.2051892199087888,1697,16,9,FALSE
201,0.9386548968453241,FALSE,0.5446933133061975,846,17,14,FALSE
202,0.9464380291239594,FALSE,0.6684561513829976,663,13,16,FALSE
203,0.9568155280200688,FALSE,1.4629148959647864,623,15,19,FALSE
204,0.9915296677064872,FALSE,0.9574258532375097,1743,19,17,FALSE
205,0.9650914117425134,FALSE,1.0738850766792893,1547,13,17,FALSE
206,0.98973172581363,FALSE,0.6686176098883152,1587,18,12,FALSE
207,0.996114461045686,FALSE,0.53383522923104465,1938,17,8,FALSE
208,0.9890036481828282,FALSE,0.8501976302359253,1338,18,10,FALSE
209,0.9805466585803408,FALSE,0.9689751483965665,593,13,14,FALSE
210,0.949311998095562,FALSE,1.1345183823723346,664,9,15,FALSE
211,0.9298361739192182,FALSE,0.9285247072111815,1839,15,20,FALSE
212,0.98684664748173,FALSE,1.2260187515057623,1533,15,13,FALSE
213,0.9906520153815969,FALSE,1.0844539359677583,300,17,15,FALSE
214,0.9658459166504184,FALSE,1.1933020919095725,653,12,14,FALSE
215,0.9467727539897506,FALSE,1.2401526698376983,790,10,15,FALSE
216,0.979827435706673,TRUE,0.7767706634476781,1661,16,8,FALSE
217,0.9717498006587477,FALSE,0.7050708949100226,480,13,17,FALSE
218,0.9448327807802286,FALSE,1.0498198042623699,1486,10,16,FALSE
219,0.9933792438246909,TRUE,1.3311174334958196,1267,16,8,FALSE
220,0.9483525645959759,FALSE,0.7226467987056822,1820,14,19,FALSE
221,0.9919166656108024,FALSE,1.1247821003198624,664,14,14,FALSE
222,0.9852658066459977,TRUE,0.6280484185554087,768,12,9,FALSE
223,0.9475912622850384,FALSE,0.5530753310304135,1487,18,18,FALSE
224,0.9602836843023017,TRUE,0.5196293087210506,994,20,8,FALSE
