iter,rsq,rank,noise,N,b,k,pairs_avg,pairs_var,items_var,is_bibd
44,0.9069600940794842,FALSE,0.5179845378734171,1049,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
45,0.9202916392900997,FALSE,1.364575941581279,1355,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
46,0.9835839060686209,FALSE,0.694801168050617,1554,13,5,1,0.22510822510822512,0,FALSE
47,0.9741758244679001,FALSE,0.5257883095182478,870,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
48,0.9291504997381926,FALSE,0.9921678602695465,638,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
49,0.9173324196462498,FALSE,0.8412237539887428,1453,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
50,0.9946085559396785,TRUE,1.264715837314725,978,14,5,1,0.2430902430902431,0.2564102564102564,FALSE
51,0.903622743677319,FALSE,0.526957411551848,465,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
52,0.9957106496855327,FALSE,0.9742282349616289,1224,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
53,0.9841714383155566,FALSE,1.2534165540710092,1408,12,5,0.9871794871794872,0.2761449077238551,0.2564102564102564,FALSE
54,0.9421670532174921,FALSE,0.9952678282279521,1858,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
55,0.9886273362850733,FALSE,0.5300325832795352,1118,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
56,0.9856902122004959,TRUE,1.2361729617696255,1922,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
57,0.9292682508367678,FALSE,0.8655424744356424,1698,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
58,0.9867419246540754,FALSE,1.1884963824413717,677,13,5,1,0.22510822510822512,0,FALSE
59,0.9861123256075062,FALSE,0.8723453860729933,1908,13,5,1,0.22510822510822512,0,FALSE
60,0.9933847916950449,FALSE,1.3524534010794014,1453,15,5,1,0.22777222777222778,0.19230769230769232,FALSE
61,0.9888839770897455,FALSE,1.2907511286903173,427,13,5,1,0.2510822510822511,0,FALSE
62,0.9878723094155056,FALSE,1.3780607453081757,844,15,4,1,0.13186813186813187,0.2564102564102564,FALSE
63,0.9803151975632898,TRUE,0.7054886168334633,1993,12,5,0.9871794871794872,0.2761449077238551,0.2564102564102564,FALSE
64,0.9863421649009427,TRUE,0.8628706636372954,638,14,5,1,0.26906426906426906,0.2564102564102564,FALSE
65,0.9892205352656933,FALSE,1.170942088123411,582,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
66,0.9871846543619774,FALSE,1.0001202293206006,1703,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
67,0.9495147607698444,FALSE,0.6124226851388812,1162,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
68,0.9295115401099631,FALSE,0.712545562768355,1487,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
69,0.9930960064208001,FALSE,0.9743113606236875,473,15,4,1,0.13186813186813187,0.2564102564102564,FALSE
70,0.9424026412939555,FALSE,0.80232411553151906,1834,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
71,0.982375720259901,FALSE,1.018155282130465,364,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
72,0.944469816865785,FALSE,1.4794916657265276,762,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
73,0.8776921085887338,FALSE,1.1332881113048643,1128,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
74,0.9872646153705197,FALSE,1.29246279085055,329,14,5,1,0.2430902430902431,0.2564102564102564,FALSE
75,0.9378174253488875,FALSE,0.6353172184899449,346,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
76,0.9005978004774858,FALSE,1.0694750803522766,1081,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
77,0.9811226002417409,FALSE,0.7399651983287185,1373,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
78,0.9910657019601045,FALSE,1.1784349936060607,1501,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
79,0.9270529035140789,FALSE,1.4225979950278997,1112,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
80,0.9892687233700982,FALSE,0.9519830546341836,992,14,5,1,0.2430902430902431,0.2564102564102564,FALSE
81,0.9872096746074941,FALSE,0.8276740645524114,1696,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
82,0.9543141519125007,FALSE,0.8747694932390004,314,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
83,0.974710866504052,FALSE,1.1788676239084452,834,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
84,0.9900861757834287,FALSE,1.4130152082070708,1399,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
85,0.9713139462815444,FALSE,0.5913178850896657,1095,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
86,0.8948749161976275,FALSE,1.2379579693078995,437,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
87,0.9919987588960792,FALSE,0.7739605284295976,1460,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
88,0.9869799099048461,FALSE,1.3833367296028882,463,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
89,0.9841087858900998,FALSE,1.3092353329993784,1400,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
90,0.9139322502008282,FALSE,0.5773893122095615,1081,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
91,0.9560488546574653,FALSE,0.8421232551336288,748,14,5,1,0.2430902430902431,0.2564102564102564,FALSE
92,0.9938907556041227,FALSE,0.7508786648977548,1531,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
93,0.9873042073029654,FALSE,1.1076561342924833,1139,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
94,0.9656900354826435,FALSE,1.1902445177547634,889,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
95,0.9865552432200058,FALSE,1.0090596214868128,1592,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
96,0.9430010456581,FALSE,1.2447550264187157,1590,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
97,0.9937397894050625,FALSE,1.0392855973914266,1215,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
98,0.9266080397988742,FALSE,1.2582591520622373,998,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
99,0.9923480116044249,FALSE,1.2327881876844913,1596,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
100,0.9039882024268892,FALSE,0.7791981438640505,1622,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
101,0.8383909316530036,FALSE,0.8110155023168772,366,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
102,0.9881837715053879,FALSE,1.348493803292513,1676,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
103,0.938556588026179,FALSE,0.6594517093617469,1156,13,3,0.5,0,0,FALSE
104,0.9871115063029219,FALSE,1.4029720884282142,1376,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
105,0.94347544497686,FALSE,0.5800929539836943,656,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
106,0.9705768237555108,FALSE,1.067330532707274,1882,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
107,0.9738793825903843,FALSE,0.8494432950392365,1087,14,5,1,0.26906426906426906,0.2564102564102564,FALSE
108,0.9688698288452904,FALSE,0.7537702498957515,1548,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
109,0.9196589221973278,FALSE,1.4068972796667367,415,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
110,0.9901669490795083,FALSE,1.064676692476496,1425,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
111,0.9380538031361576,FALSE,0.501159779727459,1877,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
112,0.9691898444521613,FALSE,0.725751478690654,915,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
113,0.982036773663544,FALSE,0.7004164536483586,640,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
114,0.9645619282369924,FALSE,0.6446728503797203,1526,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
115,0.9553827220654059,FALSE,0.7987173825968057,776,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
116,0.9676270444743064,FALSE,1.0111052854917943,525,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
117,0.9383439879789061,FALSE,1.0127161636482924,1373,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
118,0.9985162278099137,FALSE,1.0907612359151244,1858,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
119,0.9498434365404615,FALSE,1.3748040122445673,1941,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
120,0.9896102685006933,FALSE,1.3532560914754868,744,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
121,0.9867367765737525,FALSE,0.8804964106529951,1288,13,4,1,0,0,TRUE
122,0.9052270431084988,FALSE,1.210385265527293,1190,13,3,0.5,0,0,FALSE
123,0.9821756298962314,FALSE,0.5570926934015006,1758,15,4,1,0.13186813186813187,0.2564102564102564,FALSE
124,0.9732414059745312,FALSE,0.9819672440644354,839,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
125,0.9896146968085406,FALSE,1.2124776218552142,1259,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
126,0.9964879476932437,FALSE,1.1781193462666124,1615,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
127,0.9858227542970619,FALSE,1.263030431466177,963,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
128,0.9516208375933399,FALSE,0.5486610468942672,1748,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
129,0.9831454342374691,FALSE,0.7061496786773205,1660,11,4,0.8205128205128205,0.030753968253968252,0.2564102564102564,FALSE
130,0.8943741595472735,FALSE,0.6755393578205258,1957,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
131,0.9882455358342561,FALSE,1.4095263669732958,787,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
132,0.9155256204721862,FALSE,1.1334323030896485,605,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
133,0.998262903337438,TRUE,1.2672371247317642,1409,15,4,1,0.13186813186813187,0.2564102564102564,FALSE
134,0.9448424642672931,FALSE,0.7710589841008186,655,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
135,0.9902053968581539,FALSE,1.1408146168105304,720,15,4,1,0.13186813186813187,0.2564102564102564,FALSE
136,0.9784724784423878,FALSE,0.9642471927218139,1095,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
137,0.9902056373686856,FALSE,0.7750611265655607,968,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
138,0.9796639369376242,FALSE,0.5281052845530212,1708,11,5,0.9743589743589743,0.2771929824561403,0.19230769230769232,FALSE
139,0.9777904951231009,FALSE,0.8719882275909185,1672,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
140,0.914595189129633,FALSE,1.0988180295098573,1543,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
141,0.9941828906927151,FALSE,1.1100357985123992,696,14,5,1,0.2430902430902431,0.2564102564102564,FALSE
142,0.996679563659402,FALSE,0.8490986751858145,1669,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
143,0.9438420612541388,FALSE,1.1860885261557996,1385,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
144,0.9885603616628966,FALSE,1.4337712158448994,1828,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
145,0.9923367525733766,FALSE,1.300190191483125,886,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
146,0.9755596782498457,FALSE,1.2648694717790931,377,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
147,0.988430977508848,FALSE,1.4305043038912117,541,14,5,1,0.2430902430902431,0.2564102564102564,FALSE
148,0.7654023100666543,FALSE,0.6311449129134417,1223,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
149,0.9897466366539125,FALSE,0.7583166395779699,1863,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
150,0.9882634026831386,FALSE,1.4829896711744368,891,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
151,0.9955912271045891,FALSE,1.108168790815398,1150,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
152,0.9882992291863248,TRUE,1.053566008573398,1232,13,5,1,0.22510822510822512,0,FALSE
153,0.9488143599402943,FALSE,1.178031629184261,1971,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
154,0.9857921425227103,FALSE,0.6692564080003649,1419,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
155,0.9433887788957656,FALSE,0.8765073912218213,1814,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
